Time (s),Altitude,Controller Output,Ascent Rate (m/s),Filtered Ascent Rate (m/s)
492,2974188,0,5603,6068
493,2982523,0,8335,6112
494,2989644,0,7121,6131
495,2999570,0,9926,6206
496,3003465,0,3895,6158
497,3012262,0,8797,6209
498,3014710,0,2448,6132
499,3019970,0,5260,6114
500,3026391,0,6421,6119
501,3032298,0,5907,6114
502,3036481,0,4183,6074
503,3041643,0,5162,6055
504,3051403,0,9760,6128
505,3060103,0,8700,6179
506,3066399,0,6296,6180
507,3071571,0,5172,6159
508,3077997,0,6426,6163
509,3084693,0,6696,6172
510,3091291,0,6598,6179
511,3098100,0,6809,6191
512,3103870,0,5770,6182
513,3111577,0,7707,6212
514,3118693,0,7116,6229
515,3125082,0,6389,6231
516,3133929,0,8847,6282
517,3140893,0,6964,6295
518,3147767,0,6874,6306
519,3155146,0,7379,6326
520,3159411,0,4265,6284
521,3165724,0,6313,6284
522,3168931,0,3207,6222
523,3177727,0,8796,6272
524,3183803,0,6076,6267
525,3188914,0,5111,6243
526,3192336,0,3422,6186
527,3200062,0,7726,6216
528,3208157,0,8095,6252
529,3217037,0,8880,6303
530,3224346,0,7309,6322
531,3232696,0,8350,6362
532,3239978,0,7282,6379
533,3247861,0,7883,6408
534,3254060,0,6199,6402
535,3260925,0,6865,6410
536,3270369,0,9444,6469
537,3276586,0,6217,6463
538,3282859,0,6273,6458
539,3293125,0,10266,6533
540,3298760,0,5635,6514
541,3302991,0,4231,6467
542,3310496,0,7505,6487
543,3313440,0,2944,6415
544,3319792,0,6352,6413
545,3323784,0,3992,6363
546,3330000,0,6216,6359
547,3332580,0,2580,6282
548,3340438,0,7858,6313
549,3346900,0,6462,6315
550,3350379,0,3479,6257
551,3353963,0,3584,6202
552,3357754,0,3791,6152
553,3363051,0,5297,6133
554,3370579,0,7528,6160
555,3373982,0,3403,6104
556,3379700,0,5718,6095
557,3383254,0,3554,6044
558,3388288,0,5034,6023
559,3396032,0,7744,6056
560,3400540,0,4508,6024
561,3404353,0,3813,5979
562,3407674,0,3321,5925
563,3411447,0,3773,5881
564,3418004,0,6557,5894
565,3425093,0,7089,5917
566,3431153,0,6060,5919
567,3436358,0,5205,5904
568,3441911,0,5553,5896
569,3447690,0,5779,5893
570,3453463,0,5773,5890
571,3461391,0,7928,5930
572,3465750,0,4359,5898
573,3469281,0,3531,5850
574,3476240,0,6959,5872
575,3483360,0,7120,5896
576,3492046,0,8686,5951
577,3499062,0,7016,5971
578,3505014,0,5952,5970
579,3511648,0,6634,5982
580,3514501,0,2853,5919
581,3520922,0,6421,5928
582,3526214,0,5292,5914
583,3530281,0,4067,5876
584,3535060,0,4779,5853
585,3541880,0,6820,5871
586,3545656,0,3776,5828
587,3552446,0,6790,5846
588,3556298,0,3852,5806
589,3563167,0,6869,5826
590,3570019,0,6852,5846
591,3574352,0,4333,5815
592,3577238,0,2886,5755
593,3584215,0,6977,5778
594,3590702,0,6487,5791
595,3597036,0,6334,5801
596,3604749,0,7713,5838
597,3611041,0,6292,5846
598,3617133,0,6092,5850
599,3626243,0,9110,5915
600,3631759,0,5516,5906
601,3637281,0,5522,5897
602,3644577,0,7296,5924
603,3650400,0,5823,5921
604,3656782,0,6382,5929
605,3662833,0,6051,5931
606,3669369,0,6536,5942
607,3679365,0,9996,6022
608,3687969,0,8604,6073
609,3696176,0,8207,6115
610,3701887,0,5711,6106
611,3708746,0,6859,6120
612,3715973,0,7227,6141
613,3720804,0,4831,6114
