Time (s),Alt (m),aRate (m/s)
4782,289.01,6.03
4783,295.32,5.56
4784,301.40,5.62
4785,307.09,5.61
4786,312.70,5.54
4787,317.89,4.96
4788,322.41,4.04
4789,327.23,5.07
4790,333.00,5.70
4791,339.10,5.45
4792,345.05,5.64
4793,351.12,5.93
4794,357.09,6.01
4795,363.10,6.24
4796,369.48,6.31
4797,375.75,5.99
4798,381.78,5.94
4799,387.80,5.77
4800,393.40,5.44
4801,399.64,6.09
4802,405.73,5.92
4803,411.71,5.76
4804,417.49,5.53
4805,422.42,4.61
4806,427.48,5.15
4807,432.75,5.28
4808,438.52,5.90
4809,444.69,6.27
4810,450.97,6.22
4811,457.47,6.44
4812,464.05,6.43
4813,470.46,6.17
4814,476.64,6.02
4815,481.93,4.92
4816,487.50,5.49
4817,493.12,5.43
4818,499.02,6.00
4819,504.96,5.67
4820,510.60,5.50
4821,516.16,5.52
4822,521.80,5.29
4823,527.68,5.54
4824,533.36,5.15
4825,538.89,5.49
4826,544.45,5.64
4827,549.79,5.28
4828,555.30,5.61
4829,560.61,5.33
4830,566.02,5.35
4831,571.43,5.46
4832,576.95,5.58
4833,582.81,6.03
4834,589.08,6.17
4835,595.27,6.03
4836,601.09,5.67
4837,606.48,5.41
4838,612.01,5.71
4839,618.22,6.50
4840,624.80,6.40
4841,631.25,6.24
4842,637.45,6.25
4843,643.99,6.57
4844,650.66,6.76
4845,657.37,6.76
4846,663.36,5.93
4847,668.83,5.12
4848,674.15,5.60
4849,680.34,6.09
4850,686.59,6.13
4851,692.61,6.11
4852,698.79,6.32
4853,705.43,6.80
4854,711.92,6.37
4855,718.25,6.37
4856,724.45,6.38
4857,730.93,6.62
4858,737.36,6.24
4859,743.54,6.20
4860,749.84,6.23
4861,756.08,6.06
4862,762.35,6.24
4863,768.36,5.93
4864,773.73,5.18
4865,779.25,5.81
4866,785.03,5.99
4867,791.30,6.27
4868,797.55,6.18
4869,803.73,6.03
4870,809.82,6.15
4871,816.03,6.01
4872,822.26,6.06
4873,828.11,5.97
4874,834.21,6.03
4875,840.26,6.12
4876,845.92,5.91
4877,851.61,5.79
4878,857.27,5.78
4879,862.73,5.37
4880,868.43,5.42
4881,874.06,5.80
4882,879.90,5.90
4883,885.83,5.99
4884,891.74,5.90
4885,897.64,6.07
4886,903.89,6.44
4887,910.35,6.39
4888,916.74,6.38
4889,923.11,6.23
4890,929.33,6.01
4891,935.15,5.58
4892,940.70,5.56
4893,946.40,5.98
4894,952.61,6.18
4895,958.76,6.33
4896,965.17,6.47
4897,971.34,6.12
4898,977.04,5.69
4899,982.59,5.65
4900,988.47,6.02
4901,994.50,6.03
4902,1000.23,5.73
4903,1005.88,5.53
4904,1011.53,5.73
4905,1017.36,5.91
4906,1023.45,6.07
4907,1029.37,6.02
4908,1035.31,5.84
4909,1040.86,5.52
4910,1046.41,5.66
4911,1052.05,5.75
4912,1057.73,5.67
4913,1063.01,5.66
4914,1068.51,5.62
4915,1074.19,5.84
4916,1080.01,6.02
4917,1086.08,5.95
4918,1091.83,5.49
4919,1097.23,5.41
4920,1102.15,5.15
4921,1107.35,5.44
4922,1112.75,5.63
4923,1118.46,5.92
4924,1124.68,6.13
4925,1130.82,5.87
4926,1136.47,5.50
4927,1141.76,5.45
4928,1147.04,5.28
4929,1152.14,5.28
4930,1157.62,5.46
4931,1163.24,5.57
4932,1169.02,5.86
4933,1175.07,6.15
4934,1181.25,6.24
4935,1187.36,6.14
4936,1193.08,5.54
4937,1198.23,5.12
4938,1203.66,5.37
4939,1209.45,5.82
4940,1215.58,6.06
4941,1221.68,6.18
4942,1227.66,6.06
4943,1233.62,5.91
4944,1239.25,5.59
4945,1245.16,5.87
4946,1251.15,6.02
4947,1257.23,6.25
4948,1263.26,6.07
4949,1269.35,6.17
4950,1275.25,6.00
4951,1280.85,5.55
4952,1286.45,5.71
4953,1292.14,5.93
4954,1298.07,6.07
4955,1304.14,5.91
4956,1309.89,5.80
4957,1315.94,6.19
4958,1321.96,5.93
4959,1327.84,5.91
4960,1333.90,6.19
4961,1339.80,6.03
4962,1345.94,6.14
4963,1352.27,6.20
4964,1358.97,6.55
4965,1365.52,6.58
4966,1372.00,6.42
4967,1378.28,6.24
4968,1384.50,6.02
4969,1390.47,5.51
4970,1396.26,5.86
4971,1402.32,6.21
4972,1408.51,6.25
4973,1414.83,6.30
4974,1420.89,5.76
4975,1426.25,5.13
4976,1431.10,4.55
4977,1435.94,4.97
4978,1441.43,5.57
4979,1447.07,5.81
4980,1452.93,5.90
4981,1458.93,6.09
4982,1465.05,5.88
4983,1470.70,5.57
4984,1476.51,5.86
4985,1481.85,5.38
4986,1486.95,5.24
4987,1492.12,5.29
4988,1497.63,5.58
4989,1503.25,5.62
4990,1509.34,6.09
4991,1515.52,6.15
4992,1521.57,6.32
4993,1527.61,6.09
4994,1533.36,5.56
4995,1539.03,5.82
4996,1545.34,6.07
4997,1551.59,6.17
4998,1557.72,5.99
4999,1563.42,5.58
5000,1568.32,4.67
5001,1573.13,5.11
5002,1578.48,5.51
5003,1584.06,5.80
5004,1589.73,5.61
5005,1595.34,5.59
5006,1601.26,5.96
5007,1607.51,6.21
5008,1613.71,5.98
5009,1619.81,6.17
5010,1625.84,6.05
5011,1631.99,5.86
5012,1638.11,5.77
5013,1643.90,5.68
5014,1649.73,5.81
5015,1655.89,6.17
5016,1662.04,6.07
5017,1667.47,5.37
5018,1672.17,4.49
5019,1677.23,4.98
5020,1682.79,5.73
5021,1688.56,5.89
5022,1694.61,6.05
5023,1700.75,6.17
5024,1707.00,6.26
5025,1713.73,6.52
5026,1720.18,6.35
5027,1726.65,6.30
5028,1732.80,5.92
5029,1738.53,5.66
5030,1743.99,5.79
5031,1750.05,6.08
5032,1756.40,6.03
5033,1762.41,6.01
5034,1768.33,5.93
5035,1774.31,5.95
5036,1780.24,6.05
5037,1786.00,5.76
5038,1791.32,5.24
5039,1796.17,4.75
5040,1800.96,5.07
5041,1806.25,5.48
5042,1812.08,5.99
5043,1818.15,6.06
5044,1824.06,6.03
5045,1830.07,6.08
5046,1835.91,5.69
5047,1841.71,5.54
5048,1847.41,5.85
5049,1853.56,6.20
5050,1859.79,6.13
5051,1865.76,5.96
5052,1871.72,6.03
5053,1877.56,5.72
5054,1883.49,5.43
5055,1888.81,5.08
5056,1893.90,5.23
5057,1899.35,5.68
5058,1905.05,5.96
5059,1910.96,6.12
5060,1917.30,6.32
5061,1923.70,6.11
5062,1929.52,5.56
5063,1934.59,5.12
5064,1939.47,4.95
5065,1944.50,5.17
5066,1949.92,5.49
5067,1955.71,5.81
