Time (s),Alt (m),aRate (m/s)
13742,26708.63,0.55
13743,26709.17,0.52
13744,26709.57,0.54
13745,26710.07,0.55
13746,26710.66,0.60
13747,26711.75,0.80
13748,26712.62,0.96
13749,26713.77,1.05
13750,26714.39,0.88
13751,26715.05,0.72
13752,26715.97,0.84
13753,26716.58,0.72
13754,26717.18,0.73
13755,26717.77,0.64
13756,26718.53,0.72
13757,26719.08,0.63
13758,26719.71,0.68
13759,26720.28,0.59
13760,26720.79,0.56
13761,26721.42,0.56
13762,26722.10,0.67
13763,26722.78,0.65
13764,26723.44,0.62
13765,26724.00,0.64
13766,26724.68,0.59
13767,26725.25,0.54
13768,26726.08,0.73
13769,26726.82,0.77
13770,26727.75,0.80
13771,26728.78,0.87
13772,26729.46,0.91
13773,26730.33,0.91
13774,26730.88,0.69
13775,26731.37,0.59
13776,26732.26,0.75
13777,26733.31,0.98
13778,26734.00,0.96
13779,26734.64,0.79
13780,26735.12,0.57
13781,26735.61,0.48
13782,26735.99,0.47
13783,26736.25,0.43
13784,26736.85,0.59
13785,26739.41,1.96
13786,26740.09,0.99
13787,26740.86,0.90
13788,26740.26,-0.44
13789,26739.66,-0.51
13790,26739.79,0.22
13791,26740.06,0.34
13792,26740.46,0.48
13793,26740.92,0.58
13794,26742.12,1.27
13795,26742.78,0.69
13796,26742.97,0.32
13797,26743.57,0.74
13798,26744.72,1.40
13799,26745.72,1.09
13800,26746.33,0.75
13801,26746.65,0.50
13802,26747.11,0.64
13803,26747.29,0.33
13804,26747.80,0.62
13805,26748.31,0.60
13806,26748.72,0.56
13807,26749.12,0.56
13808,26749.57,0.63
13809,26749.96,0.55
13810,26750.42,0.60
13811,26750.56,0.26
13812,26750.97,0.46
13813,26751.36,0.53
13814,26751.80,0.56
13815,26752.30,0.57
13816,26752.88,0.60
13817,26753.39,0.57
13818,26753.97,0.63
13819,26754.54,0.63
13820,26755.10,0.62
13821,26755.73,0.65
13822,26756.31,0.61
13823,26756.87,0.58
13824,26757.43,0.58
13825,26758.08,0.62
13826,26758.73,0.66
13827,26759.30,0.59
13828,26759.94,0.63
13829,26760.49,0.65
13830,26761.11,0.62
13831,26761.70,0.57
13832,26762.22,0.63
13833,26762.84,0.61
13834,26763.32,0.60
13835,26763.80,0.65
13836,26764.26,0.56
13837,26764.75,0.63
13838,26765.37,0.63
13839,26766.00,0.63
13840,26766.67,0.58
13841,26767.26,0.56
13842,26767.84,0.59
13843,26768.42,0.56
13844,26768.99,0.54
13845,26769.56,0.58
13846,26770.15,0.60
13847,26770.79,0.58
13848,26771.30,0.55
13849,26771.84,0.58
13850,26772.41,0.59
13851,26772.99,0.50
13852,26773.54,0.53
13853,26774.12,0.52
13854,26774.66,0.55
13855,26775.21,0.54
13856,26775.81,0.54
13857,26776.42,0.54
13858,26776.89,0.51
13859,26777.39,0.54
13860,26777.97,0.48
13861,26778.40,0.38
13862,26778.82,0.43
13863,26779.28,0.45
13864,26779.68,0.38
13865,26780.11,0.35
13866,26780.52,0.38
13867,26780.93,0.43
13868,26781.33,0.39
13869,26781.77,0.45
13870,26782.18,0.45
13871,26782.64,0.34
13872,26783.09,0.42
13873,26783.47,0.43
13874,26783.72,0.24
13875,26783.94,0.29
13876,26784.12,0.21
13877,26784.40,0.30
13878,26784.66,0.28
13879,26784.83,0.31
13880,26785.11,0.29
13881,26785.33,0.19
13882,26785.54,0.29
13883,26785.76,0.24
13884,26785.97,0.21
13885,26786.17,0.23
13886,26786.27,0.20
13887,26786.40,0.19
13888,26786.59,0.25
13889,26786.80,0.30
13890,26787.06,0.29
13891,26787.28,0.15
13892,26787.41,0.22
13893,26787.51,0.11
13894,26787.65,0.22
13895,26787.84,0.22
13896,26787.96,0.15
13897,26788.13,0.23
13898,26788.33,0.18
13899,26788.47,0.17
13900,26788.57,0.20
13901,26788.71,0.09
13902,26788.83,0.14
13903,26788.94,0.15
13904,26788.97,0.12
13905,26789.07,0.10
13906,26789.03,0.09
13907,26789.02,0.07
13908,26789.01,0.10
13909,26789.02,0.07
13910,26788.98,0.12
13911,26789.04,0.01
13912,26789.02,0.03
13913,26789.05,-0.04
13914,26788.99,-0.05
13915,26788.92,-0.03
13916,26788.88,0.03
13917,26788.80,-0.06
13918,26788.69,-0.04
13919,26788.64,-0.01
13920,26788.48,-0.01
13921,26788.48,-0.07
13922,26788.35,-0.06
13923,26788.30,-0.14
13924,26788.15,-0.06
13925,26788.03,-0.15
13926,26787.89,-0.19
13927,26787.70,-0.15
13928,26787.51,-0.19
13929,26787.30,-0.17
13930,26787.05,-0.15
13931,26786.88,-0.18
13932,26786.64,-0.25
13933,26786.45,-0.12
13934,26786.24,-0.27
13935,26785.92,-0.18
13936,26785.66,-0.22
13937,26785.31,-0.29
13938,26784.98,-0.22
13939,26784.75,-0.21
13940,26784.43,-0.19
13941,26784.17,-0.28
13942,26783.90,-0.25
13943,26783.64,-0.29
13944,26783.30,-0.32
13945,26783.00,-0.28
13946,26782.64,-0.26
13947,26782.25,-0.37
13948,26781.85,-0.37
13949,26781.47,-0.34
13950,26781.11,-0.24
13951,26780.89,-0.34
13952,26780.57,-0.28
13953,26780.31,-0.30
13954,26780.01,-0.32
13955,26779.65,-0.35
13956,26779.33,-0.35
13957,26779.00,-0.30
13958,26778.69,-0.32
13959,26778.28,-0.42
13960,26777.93,-0.31
13961,26777.52,-0.39
13962,26777.21,-0.37
13963,26776.97,-0.30
13964,26776.59,-0.33
13965,26776.23,-0.35
13966,26775.82,-0.29
13967,26775.21,-0.49
13968,26774.71,-0.47
13969,26774.25,-0.49
13970,26773.84,-0.35
13971,26773.54,-0.43
13972,26773.19,-0.31
13973,26772.72,-0.47
13974,26772.43,-0.42
13975,26772.01,-0.41
13976,26771.66,-0.44
13977,26771.32,-0.39
13978,26771.02,-0.33
13979,26770.62,-0.36
13980,26770.27,-0.30
13981,26769.96,-0.32
13982,26769.56,-0.40
13983,26769.23,-0.40
13984,26768.87,-0.33
13985,26768.47,-0.37
13986,26767.68,-0.63
13987,26767.37,-0.53
13988,26767.01,-0.41
13989,26766.67,-0.35
13990,26766.32,-0.34
13991,26766.02,-0.30
13992,26765.75,-0.32
13993,26765.43,-0.34
13994,26765.10,-0.31
13995,26764.80,-0.31
13996,26764.52,-0.31
13997,26764.34,-0.26
13998,26764.35,-0.16
13999,26763.73,-0.21
14000,26762.96,-0.56
14001,26762.60,-0.50
14002,26762.28,-0.34
14003,26761.83,-0.42
14004,26761.29,-0.48
14005,26761.51,-0.01
14006,26762.20,0.55
14007,26761.73,-0.18
14008,26761.49,-0.24
14009,26761.25,-0.32
14010,26761.02,-0.23
14011,26760.69,-0.26
14012,26760.49,-0.21
14013,26760.26,-0.22
14014,26760.12,-0.14
14015,26759.86,-0.19
14016,26759.86,-0.06
14017,26759.66,-0.05
14018,26759.59,-0.02
14019,26759.40,-0.14
14020,26759.28,-0.09
14021,26759.15,-0.10
14022,26759.05,-0.09
14023,26758.91,-0.19
14024,26758.75,-0.21
14025,26758.74,-0.07
14026,26758.67,-0.07
14027,26758.53,-0.13
14028,26758.34,-0.14
14029,26758.28,-0.02
14030,26758.25,-0.04
14031,26758.18,-0.05
14032,26758.15,-0.10
14033,26758.13,-0.05
14034,26758.10,-0.02
14035,26758.09,-0.05
14036,26758.05,-0.01
14037,26758.02,-0.03
14038,26757.94,-0.04
14039,26757.89,-0.03
14040,26757.86,0.03
14041,26757.83,-0.05
14042,26757.90,0.00
14043,26757.94,-0.01
14044,26757.92,-0.04
14045,26757.90,0.02
14046,26757.90,0.05
14047,26758.00,0.07
14048,26758.04,0.06
14049,26758.11,0.07
14050,26758.22,0.12
14051,26758.34,0.08
14052,26758.47,0.12
14053,26758.68,0.10
14054,26758.91,0.11
14055,26759.14,0.15
14056,26759.35,0.20
14057,26759.50,0.12
14058,26759.62,0.12
14059,26759.76,0.14
14060,26759.85,0.18
14061,26760.14,0.25
14062,26760.33,0.25
14063,26760.56,0.22
14064,26760.83,0.11
14065,26760.99,0.17
14066,26761.24,0.20
14067,26761.44,0.16
14068,26761.66,0.20
14069,26761.92,0.33
14070,26762.21,0.28
14071,26762.47,0.25
14072,26762.65,0.25
14073,26762.94,0.17
14074,26763.10,0.20
14075,26763.34,0.31
14076,26763.48,0.21
14077,26763.73,0.21
14078,26763.88,0.27
14079,26764.18,0.26
14080,26764.55,0.26
14081,26764.79,0.35
14082,26765.23,0.40
14083,26765.56,0.25
14084,26765.92,0.28
14085,26766.14,0.31
14086,26766.45,0.39
14087,26766.61,0.20
14088,26766.81,0.29
14089,26767.09,0.26
14090,26767.34,0.24
14091,26767.62,0.29
14092,26767.83,0.36
14093,26768.13,0.29
14094,26768.41,0.23
14095,26768.67,0.27
14096,26768.93,0.30
14097,26769.20,0.29
14098,26769.48,0.26
14099,26769.73,0.28
14100,26769.90,0.38
14101,26770.14,0.33
14102,26770.32,0.31
14103,26770.59,0.25
14104,26770.81,0.30
14105,26771.13,0.32
14106,26771.37,0.35
14107,26771.60,0.29
14108,26771.85,0.33
14109,26772.13,0.31
14110,26772.42,0.31
14111,26772.71,0.28
14112,26773.02,0.35
14113,26773.34,0.26
14114,26773.67,0.27
14115,26773.98,0.35
14116,26774.30,0.37
14117,26774.69,0.34
14118,26775.09,0.36
14119,26775.38,0.34
14120,26775.67,0.34
14121,26776.04,0.27
14122,26776.30,0.32
14123,26776.57,0.30
14124,26776.87,0.30
14125,26777.23,0.36
14126,26777.55,0.40
14127,26777.92,0.27
14128,26778.24,0.33
14129,26778.52,0.37
14130,26778.88,0.35
14131,26779.18,0.39
14132,26779.50,0.31
14133,26779.85,0.34
14134,26780.26,0.30
14135,26780.62,0.38
14136,26780.99,0.38
14137,26781.34,0.32
14138,26781.66,0.32
14139,26781.93,0.32
14140,26782.23,0.27
14141,26782.45,0.23
14142,26782.73,0.30
14143,26783.07,0.28
14144,26783.39,0.27
14145,26783.67,0.30
14146,26783.98,0.29
14147,26784.38,0.33
14148,26784.62,0.22
14149,26784.81,0.23
14150,26784.98,0.23
14151,26785.26,0.30
14152,26785.56,0.25
14153,26785.88,0.37
14154,26786.12,0.22
14155,26786.33,0.17
14156,26786.48,0.24
14157,26786.75,0.20
14158,26786.91,0.21
14159,26787.03,0.20
14160,26787.21,0.17
14161,26787.48,0.20
14162,26787.61,0.12
14163,26787.76,0.17
14164,26788.00,0.14
14165,26788.16,0.14
14166,26788.30,0.16
14167,26788.53,0.12
14168,26788.75,0.19
14169,26788.89,0.12
14170,26789.06,0.16
14171,26789.24,0.19
14172,26789.43,0.21
14173,26789.61,0.20
14174,26789.81,0.15
14175,26789.95,0.12
14176,26790.06,0.17
14177,26790.33,0.19
14178,26790.57,0.16
14179,26790.75,0.14
14180,26790.88,0.18
14181,26790.97,0.08
14182,26791.10,0.11
14183,26791.26,0.20
14184,26791.40,0.13
14185,26791.56,0.12
14186,26791.66,0.11
14187,26791.75,0.09
14188,26791.88,0.04
14189,26792.02,0.14
14190,26792.19,0.09
14191,26792.32,0.16
14192,26792.48,0.11
14193,26792.61,0.19
14194,26792.73,0.14
14195,26792.90,0.12
14196,26793.08,0.13
14197,26793.08,0.08
14198,26793.06,0.11
14199,26793.12,0.08
14200,26793.16,0.05
14201,26793.21,0.09
14202,26793.31,0.11
14203,26793.42,0.13
14204,26793.59,0.07
14205,26793.68,0.07
14206,26793.74,0.07
14207,26793.79,0.09
14208,26793.89,0.13
14209,26793.94,0.08
14210,26794.00,0.13
14211,26793.95,0.08
14212,26793.95,0.10
14213,26794.00,0.02
14214,26794.03,0.05
14215,26794.16,0.02
14216,26794.24,0.05
14217,26794.39,0.10
14218,26794.53,0.08
14219,26794.63,0.09
14220,26794.64,0.08
14221,26794.62,0.10
14222,26794.61,0.07
14223,26794.61,0.07
14224,26794.61,0.04
14225,26794.75,0.01
14226,26794.87,0.09
14227,26794.98,0.05
14228,26795.06,0.03
14229,26795.09,0.02
14230,26795.12,-0.02
14231,26795.07,0.01
14232,26795.08,0.03
14233,26795.15,0.03
14234,26795.14,0.04
14235,26795.19,0.01
14236,26795.16,0.01
14237,26795.08,0.00
14238,26795.02,0.01
14239,26794.97,-0.02
14240,26794.88,0.05
14241,26794.87,0.06
14242,26794.86,0.00
14243,26794.88,0.02
14244,26794.80,-0.03
14245,26794.79,-0.09
14246,26794.76,0.02
14247,26794.80,0.04
14248,26794.72,-0.02
14249,26794.66,-0.01
14250,26794.58,-0.03
14251,26794.65,0.03
14252,26794.70,0.06
14253,26794.67,0.03
14254,26794.65,0.04
14255,26794.68,-0.01
14256,26794.62,-0.07
14257,26794.57,-0.11
14258,26794.59,0.09
14259,26794.60,0.00
14260,26794.62,-0.01
14261,26794.55,0.00
14262,26794.45,-0.05
14263,26794.45,-0.02
14264,26794.45,0.03
14265,26794.53,0.03
14266,26794.49,-0.03
14267,26794.42,-0.01
14268,26794.50,0.04
14269,26794.54,0.01
14270,26794.50,0.00
14271,26794.42,0.05
14272,26794.46,-0.01
14273,26794.47,0.00
14274,26794.54,0.11
14275,26794.67,0.04
14276,26794.76,0.07
14277,26794.87,0.07
14278,26794.93,-0.01
14279,26795.00,0.08
14280,26795.03,0.04
14281,26795.04,0.09
14282,26795.18,0.05
14283,26795.17,0.01
14284,26795.24,0.08
14285,26795.38,0.03
14286,26795.44,0.02
14287,26795.49,0.01
14288,26795.54,0.03
14289,26795.57,0.01
14290,26795.63,0.05
14291,26795.68,0.04
14292,26795.67,0.11
14293,26795.76,0.04
14294,26795.86,0.11
14295,26795.92,0.09
14296,26796.00,0.05
14297,26795.95,0.04
14298,26795.99,0.02
14299,26795.99,0.00
14300,26795.98,0.10
14301,26795.97,0.11
14302,26796.00,-0.01
14303,26796.02,0.08
14304,26796.01,0.11
14305,26796.08,0.05
14306,26796.13,0.02
14307,26796.11,0.07
14308,26796.16,0.02
14309,26796.18,0.06
14310,26796.22,0.13
14311,26796.25,0.06
14312,26796.22,0.00
14313,26796.25,0.05
14314,26796.30,0.05
14315,26796.32,0.03
14316,26796.36,0.08
14317,26796.39,0.03
14318,26796.40,0.05
14319,26796.42,0.07
14320,26796.43,0.01
14321,26796.42,0.05
14322,26796.48,0.08
14323,26796.61,0.03
14324,26796.69,0.02
14325,26796.74,0.12
14326,26796.93,0.12
14327,26797.02,0.08
14328,26797.17,0.08
14329,26797.28,0.07
14330,26797.33,0.09
14331,26797.48,0.10
14332,26797.58,0.08
14333,26797.63,0.08
14334,26797.73,0.14
14335,26797.86,0.10
14336,26797.92,0.06
14337,26798.03,0.07
14338,26798.19,0.06
14339,26798.23,0.08
14340,26798.34,0.12
14341,26798.46,0.07
14342,26798.60,0.09
14343,26798.67,0.09
14344,26798.75,0.05
14345,26798.85,0.17
14346,26798.93,0.05
14347,26798.97,0.07
14348,26799.04,0.06
14349,26799.05,0.17
14350,26799.20,0.19
14351,26799.33,0.15
14352,26799.52,0.16
14353,26799.75,0.12
14354,26799.89,0.13
14355,26799.92,0.20
14356,26800.20,0.14
14357,26800.34,0.11
14358,26800.49,0.09
14359,26800.58,0.10
14360,26800.73,0.17
14361,26800.87,0.18
14362,26801.05,0.18
14363,26801.31,0.22
14364,26801.52,0.17
14365,26801.67,0.25
14366,26801.90,0.18
14367,26802.10,0.19
14368,26802.16,0.14
14369,26802.25,0.16
14370,26802.39,0.23
14371,26802.58,0.12
14372,26802.74,0.18
14373,26802.98,0.16
14374,26803.20,0.16
14375,26803.36,0.22
14376,26803.60,0.20
14377,26803.86,0.19
14378,26804.14,0.19
14379,26804.34,0.22
14380,26804.57,0.22
14381,26804.81,0.21
14382,26804.97,0.30
14383,26805.23,0.21
14384,26805.51,0.20
14385,26805.76,0.29
14386,26806.03,0.19
14387,26806.23,0.19
14388,26806.43,0.22
14389,26806.70,0.22
14390,26806.89,0.26
14391,26807.12,0.25
14392,26807.36,0.24
14393,26807.56,0.21
14394,26807.75,0.18
14395,26807.96,0.26
14396,26808.25,0.20
14397,26808.49,0.20
14398,26808.73,0.19
14399,26809.02,0.26
14400,26809.34,0.28
14401,26809.64,0.27
14402,26809.92,0.29
14403,26810.17,0.23
14404,26810.51,0.26
14405,26810.80,0.34
14406,26811.18,0.32
14407,26811.49,0.24
14408,26811.77,0.26
14409,26812.05,0.36
14410,26812.31,0.29
14411,26812.62,0.22
14412,26812.82,0.29
14413,26813.14,0.28
14414,26813.43,0.28
14415,26813.64,0.35
14416,26813.95,0.28
14417,26814.21,0.29
14418,26814.50,0.29
14419,26814.70,0.21
14420,26815.00,0.23
14421,26815.25,0.28
14422,26815.60,0.32
14423,26815.83,0.29
14424,26816.11,0.28
14425,26816.41,0.32
14426,26816.79,0.37
14427,26817.18,0.34
14428,26817.53,0.31
14429,26817.89,0.35
14430,26818.20,0.30
14431,26818.57,0.34
14432,26818.97,0.38
14433,26819.38,0.38
14434,26819.82,0.39
14435,26820.15,0.35
14436,26820.42,0.30
14437,26820.72,0.30
14438,26821.02,0.30
14439,26821.32,0.32
14440,26821.64,0.36
14441,26821.93,0.28
14442,26822.20,0.39
14443,26822.51,0.30
14444,26822.84,0.35
14445,26823.20,0.38
14446,26823.53,0.38
14447,26823.98,0.36
14448,26824.33,0.33
14449,26824.70,0.32
14450,26825.08,0.36
14451,26825.48,0.42
14452,26825.84,0.36
14453,26826.23,0.36
14454,26826.66,0.43
14455,26827.10,0.39
14456,26827.41,0.47
14457,26827.81,0.41
14458,26828.22,0.37
14459,26828.67,0.41
14460,26829.02,0.39
14461,26829.40,0.35
14462,26829.78,0.38
14463,26830.19,0.36
14464,26830.61,0.38
14465,26831.02,0.32
14466,26831.41,0.43
14467,26831.76,0.37
14468,26832.11,0.33
14469,26832.45,0.39
14470,26832.76,0.37
14471,26833.08,0.31
14472,26833.42,0.35
14473,26833.73,0.33
14474,26834.06,0.30
14475,26834.43,0.39
14476,26834.75,0.38
14477,26835.07,0.33
14478,26835.41,0.27
14479,26835.71,0.30
14480,26835.99,0.26
14481,26836.30,0.36
14482,26836.54,0.26
14483,26836.78,0.23
14484,26836.97,0.25
14485,26837.19,0.21
14486,26837.38,0.29
14487,26837.57,0.20
14488,26837.82,0.15
14489,26837.97,0.12
14490,26838.04,0.12
14491,26838.20,0.09
14492,26838.26,0.14
14493,26838.37,0.01
14494,26838.48,0.07
14495,26838.65,0.12
14496,26838.65,0.14
14497,26838.75,0.04
14498,26838.84,0.04
14499,26838.75,-0.02
14500,26838.71,-0.04
14501,26838.70,-0.03
14502,26838.65,-0.01
14503,26838.59,-0.05
14504,26838.56,-0.08
14505,26838.51,-0.03
14506,26838.45,0.06
14507,26838.35,-0.06
14508,26838.22,-0.13
14509,26838.12,-0.16
14510,26837.93,-0.16
14511,26837.82,-0.15
14512,26837.69,-0.13
14513,26837.61,-0.15
14514,26837.47,-0.14
14515,26837.28,-0.16
14516,26837.08,-0.14
14517,26836.90,-0.20
14518,26836.76,-0.21
14519,26836.52,-0.23
14520,26836.28,-0.27
14521,26836.12,-0.21
14522,26835.94,-0.16
14523,26835.67,-0.20
14524,26835.45,-0.21
14525,26835.24,-0.28
14526,26834.97,-0.15
14527,26834.82,-0.18
14528,26834.69,-0.31
14529,26834.41,-0.26
14530,26834.19,-0.20
14531,26833.99,-0.27
14532,26833.74,-0.19
14533,26833.46,-0.29
14534,26833.20,-0.34
14535,26832.93,-0.23
14536,26832.66,-0.21
14537,26832.40,-0.26
14538,26832.09,-0.31
14539,26831.77,-0.32
14540,26831.49,-0.23
14541,26831.26,-0.26
14542,26830.97,-0.27
14543,26830.69,-0.32
14544,26830.38,-0.31
14545,26830.03,-0.29
14546,26829.69,-0.30
14547,26829.36,-0.22
14548,26829.14,-0.30
14549,26828.85,-0.31
14550,26828.52,-0.29
14551,26828.26,-0.26
14552,26828.04,-0.28
14553,26827.73,-0.32
14554,26827.45,-0.30
14555,26827.07,-0.30
14556,26826.74,-0.33
14557,26826.37,-0.24
14558,26826.07,-0.30
14559,26825.75,-0.37
14560,26825.45,-0.35
14561,26825.09,-0.30
14562,26824.81,-0.26
14563,26824.57,-0.28
14564,26824.27,-0.25
14565,26824.00,-0.28
14566,26823.69,-0.31
14567,26823.34,-0.27
14568,26823.40,-0.20
14569,26823.60,0.02
14570,26823.39,-0.03
14571,26823.11,-0.15
14572,26822.80,-0.20
14573,26822.36,-0.28
14574,26822.00,-0.30
14575,26821.45,-0.46
14576,26821.11,-0.39
14577,26821.01,-0.21
14578,26820.88,-0.15
14579,26820.73,-0.11
14580,26819.81,-0.50
14581,26819.41,-0.50
14582,26819.10,-0.28
14583,26819.15,-0.10
14584,26818.84,-0.25
14585,26818.34,-0.32
14586,26818.92,0.25
14587,26818.86,0.07
14588,26818.50,-0.30
14589,26818.02,-0.54
14590,26818.31,0.16
14591,26818.26,0.00
14592,26818.15,0.02
14593,26817.78,-0.35
14594,26817.85,0.10
14595,26817.49,-0.36
14596,26817.29,-0.19
14597,26817.05,-0.17
14598,26816.85,-0.19
14599,26816.31,-0.48
14600,26815.83,-0.42
14601,26815.54,-0.30
14602,26815.25,-0.19
14603,26814.97,-0.25
14604,26814.61,-0.31
14605,26814.44,-0.15
14606,26814.19,-0.19
14607,26813.29,-0.51
14608,26812.83,-0.53
14609,26812.59,-0.33
14610,26812.36,-0.24
14611,26812.11,-0.17
14612,26811.83,-0.17
14613,26811.59,-0.25
14614,26811.24,-0.23
14615,26810.95,-0.23
14616,26810.77,-0.20
14617,26810.62,-0.05
14618,26810.84,0.03
14619,26811.39,0.35
14620,26812.33,0.75
14621,26812.50,0.46
14622,26812.59,0.38
14623,26812.15,-0.17
14624,26811.06,-0.80
14625,26809.29,-1.60
14626,26807.58,-1.80
14627,26805.99,-1.64
14628,26806.51,0.07
14629,26806.92,0.28
14630,26806.70,-0.23
14631,26806.50,-0.24
14632,26806.57,0.05
14633,26809.50,2.69
14634,26810.27,0.70
14635,26811.24,1.18
14636,26810.35,-1.04
14637,26809.89,-0.17
14638,26809.74,-0.09
14639,26808.83,-1.01
14640,26808.71,0.05
14641,26808.97,0.32
14642,26811.20,2.73
14643,26811.73,0.23
14644,26811.85,0.19
14645,26811.59,-0.25
14646,26811.85,0.51
14647,26812.05,0.32
14648,26812.05,0.05
14649,26814.17,2.68
14650,26815.27,0.84
14651,26815.42,0.21
14652,26815.34,0.02
14653,26815.12,0.04
14654,26814.20,-0.81
14655,26813.65,-0.27
14656,26814.00,0.72
14657,26813.38,-0.65
14658,26813.06,-0.09
14659,26812.85,-0.01
14660,26812.46,-0.21
14661,26812.72,0.63
14662,26812.59,-0.02
14663,26813.61,1.41
14664,26814.84,1.29
14665,26814.36,-0.58
14666,26814.08,-0.06
14667,26814.08,0.10
14668,26813.96,-0.04
14669,26813.89,0.09
14670,26813.56,-0.20
14671,26813.03,-0.24
14672,26812.52,-0.30
14673,26811.62,-0.72
14674,26811.62,0.25
14675,26810.90,-0.64
14676,26810.53,-0.10
14677,26810.36,0.01
14678,26810.10,-0.08
14679,26809.79,-0.13
14680,26809.09,-0.57
14681,26808.81,-0.13
14682,26808.67,0.02
14683,26808.11,-0.38
14684,26807.62,-0.37
14685,26807.29,-0.18
14686,26806.96,-0.14
14687,26806.88,0.06
14688,26806.25,-0.38
14689,26807.90,1.77
14690,26808.07,0.11
14691,26807.61,-0.31
14692,26807.19,-0.17
14693,26806.81,-0.19
14694,26807.03,0.57
14695,26806.36,-0.62
14696,26806.26,0.17
14697,26805.69,-0.48
14698,26804.92,-0.59
14699,26804.42,-0.31
14700,26805.95,2.07
14701,26806.22,0.14
14702,26805.44,-0.61
14703,26804.94,-0.23
14704,26804.47,-0.26
14705,26804.02,-0.21
14706,26803.08,-0.76
14707,26802.66,-0.17
14708,26801.83,-0.82
14709,26801.67,0.13
14710,26802.22,0.85
14711,26802.90,0.94
14712,26802.87,0.12
14713,26802.65,-0.11
14714,26801.98,-0.42
14715,26801.28,-0.46
14716,26801.04,0.08
14717,26800.64,-0.16
14718,26800.24,-0.20
14719,26799.86,-0.14
14720,26799.48,-0.22
14721,26799.08,-0.14
14722,26799.30,0.53
14723,26799.02,-0.05
14724,26798.58,-0.27
14725,26797.24,-1.32
14726,26796.43,-0.52
14727,26795.74,-0.55
14728,26795.21,-0.32
14729,26794.78,-0.26
14730,26794.33,-0.30
14731,26793.64,-0.58
14732,26793.25,-0.19
14733,26794.03,1.12
14734,26794.03,-0.03
14735,26793.60,-0.27
14736,26793.21,-0.25
14737,26792.76,-0.29
14738,26792.00,-0.65
14739,26791.44,-0.40
14740,26791.11,-0.22
14741,26790.35,-0.70
14742,26789.71,-0.46
14743,26789.24,-0.37
14744,26789.11,-0.01
14745,26788.80,-0.21
14746,26788.40,-0.33
14747,26787.71,-0.61
14748,26787.31,-0.35
14749,26786.59,-0.61
14750,26786.09,-0.44
14751,26785.66,-0.39
14752,26785.06,-0.54
14753,26784.60,-0.39
14754,26784.15,-0.42
14755,26784.14,-0.01
14756,26783.99,-0.09
14757,26783.55,-0.34
14758,26783.13,-0.32
14759,26782.78,-0.28
14760,26782.51,-0.29
14761,26782.20,-0.28
14762,26781.65,-0.46
14763,26781.42,-0.24
14764,26781.11,-0.30
14765,26780.78,-0.23
14766,26780.48,-0.24
14767,26780.06,-0.32
14768,26779.72,-0.31
14769,26779.38,-0.31
14770,26779.07,-0.31
14771,26778.68,-0.44
14772,26778.29,-0.37
14773,26777.75,-0.37
14774,26777.31,-0.38
14775,26776.91,-0.34
14776,26776.60,-0.32
14777,26776.19,-0.27
14778,26775.98,-0.24
14779,26775.61,-0.15
14780,26775.35,-0.26
14781,26774.87,-0.34
14782,26774.59,-0.25
14783,26774.26,-0.25
14784,26774.25,-0.15
14785,26774.00,-0.09
14786,26773.80,-0.07
14787,26773.32,-0.18
14788,26772.53,-0.56
14789,26772.27,-0.39
14790,26772.01,-0.37
14791,26771.65,-0.36
14792,26771.37,-0.25
14793,26771.03,-0.22
14794,26770.86,-0.20
14795,26770.55,-0.26
14796,26770.28,-0.24
14797,26770.08,-0.20
14798,26769.88,-0.17
14799,26769.64,-0.09
14800,26769.45,-0.25
14801,26768.93,-0.31
14802,26768.55,-0.39
14803,26768.50,-0.19
14804,26768.57,-0.09
14805,26767.97,-0.30
14806,26767.46,-0.49
14807,26767.29,-0.32
14808,26767.01,-0.32
14809,26766.91,-0.13
14810,26766.74,-0.20
14811,26766.54,-0.19
14812,26766.35,-0.20
14813,26766.10,-0.19
14814,26765.81,-0.28
14815,26765.62,-0.16
14816,26765.41,-0.17
14817,26765.34,-0.08
14818,26765.22,-0.11
14819,26765.07,-0.18
14820,26764.99,-0.10
14821,26764.83,-0.13
14822,26764.58,-0.29
14823,26764.36,-0.17
14824,26764.18,-0.23
14825,26763.99,-0.16
14826,26763.87,-0.13
14827,26763.84,-0.13
14828,26763.63,-0.16
14829,26763.34,-0.23
14830,26763.30,-0.13
14831,26763.04,-0.22
14832,26763.29,-0.01
14833,26763.36,0.14
14834,26762.97,-0.19
14835,26763.14,-0.05
14836,26763.03,-0.14
14837,26762.84,-0.18
14838,26762.86,-0.09
14839,26762.58,-0.22
14840,26762.18,-0.27
14841,26761.86,-0.40
14842,26761.62,-0.32
14843,26761.57,-0.08
14844,26761.46,-0.06
14845,26761.26,-0.18
14846,26760.98,-0.18
14847,26760.69,-0.19
14848,26760.58,-0.18
14849,26760.37,-0.26
14850,26760.22,-0.15
14851,26760.11,-0.17
14852,26760.21,-0.07
14853,26760.25,0.07
14854,26760.61,0.22
14855,26760.55,0.13
14856,26760.39,-0.05
14857,26760.17,-0.20
14858,26759.94,-0.19
14859,26759.82,-0.12
14860,26759.58,-0.08
14861,26759.43,-0.17
14862,26759.14,-0.29
14863,26758.82,-0.23
14864,26758.52,-0.29
14865,26758.35,-0.16
14866,26758.17,-0.17
14867,26757.97,-0.18
